"","gene","cntA","cntB","med_pa_len_A","med_pa_len_B","iso_pa_pval","iso_pa_sig","iso_pa_diff"
"1294","EIF2A",18,24,80.5,64,0.384703703703704,"False",16.5
"1295","EIF2AK1",13,25,124,121,0.493792184724689,"False",3
"1296","EIF2AK4",6,6,151.5,147,0.489898838516298,"False",4.5
"1297","EIF2B1",7,19,87,100,0.4323897659227,"False",13
"1298","EIF2B2",24,24,57.5,74,0.382134602311353,"False",16.5
"1299","EIF2B3",46,24,105.5,77.5,0.250910099889012,"False",28
"1300","EIF2B4",15,27,86,96,0.457300334768053,"False",10
"1301","EIF2B5",6,8,85.5,128,0.105800865800866,"False",42.5
"1302","EIF2D",8,14,97.5,80.5,0.398058191018343,"False",17
"1303","EIF2S1",105,60,63,85,0.31035777385159,"False",22
"1304","EIF2S2",103,96,76,85.5,0.460244869402985,"False",9.5
"1305","EIF2S3",12,25,109,102,0.477460317460318,"False",7
"1306","EIF3B",30,26,88,94,0.477460317460318,"False",6
"1308","EIF3D",58,78,68,78.5,0.449446410515672,"False",10.5
"1309","EIF3E",88,84,59,80.5,0.320472914875322,"False",21.5
"1310","EIF3F",23,37,79,78,0.496687953054884,"False",1
"1311","EIF3G",21,40,63,100.5,0.147032085561497,"False",37.5
"1312","EIF3H",95,116,78,82,0.481676447574335,"False",4
"1313","EIF3I",71,66,81,83,0.496687953054884,"False",2
"1314","EIF3K",72,64,83,77.5,0.480602196939976,"False",5.5
"1315","EIF3M",106,98,72.5,69.5,0.493792184724689,"False",3
"1316","EIF4A2",36,32,101.5,108.5,0.475560398505604,"False",7
"1317","EIF4A3",11,24,130,97.5,0.237814371257485,"False",32.5
"1318","EIF4B",32,40,111.5,86.5,0.310859649122807,"False",25
"1319","EIF4E",28,22,133,88.5,0.100936123348018,"False",44.5
"1320","EIF4E2",75,69,107,91,0.398058191018343,"False",16
"1321","EIF4EBP1",75,25,124,144,0.39,"False",20
"1322","EIF4EBP2",18,22,90,81.5,0.467994159928122,"False",8.5
"1324","EIF4EP2",6,15,114.5,127,0.45021052631579,"False",12.5
"1325","EIF4G1",10,11,111.5,176,0.0545535714285715,"False",64.5
"1326","EIF4G2",43,101,131,131,0.502163703455216,"False",0
"1327","EIF4H",31,31,91,99,0.468126660761736,"False",8
"1329","EIF5A",17,33,125,129,0.491544550810015,"False",4
"1330","EIF5B",22,15,52,28,0.232362842892768,"False",24
"1331","ELAVL1",8,17,100,124,0.31685393258427,"False",24
"1334","ELOF1",28,31,77.5,88,0.454524390243903,"False",10.5
"1335","ELOVL5",25,32,52,96,0.0604950495049505,"False",44
"1336","ELOVL6",9,15,129,125,0.489898838516298,"False",4
"1338","ELP4",6,10,126.5,87.5,0.159436026936027,"False",39
"1339","ELP5",43,49,117,106,0.439227685729556,"False",11
"1340","ELP6",26,24,112,92.5,0.36268390386016,"False",19.5
"1343","EMC3",17,22,56,64.5,0.458104106972302,"False",8.5
"1345","EMC4",35,61,64,65,0.505606060606061,"False",1
"1346","EMC6",52,80,133,110.5,0.344494909945184,"False",22.5
"1347","EMC7",23,18,70,68.5,0.494382082152974,"False",1.5
"1356","ENO1",1577,664,75,78,0.493792184724689,"False",3
"1357","ENO2",24,10,85.5,94.5,0.457300334768053,"False",9
"1359","ENSA",19,23,110,113,0.490434782608696,"False",3
"1361","ENY2",33,58,91,114.5,0.321166666666667,"False",23.5
"1362","EP400",6,6,234,176,0.14415607985481,"False",58
"1365","EPHA2",10,6,140,238.5,0,"True",98.5
"1366","EPHB4",6,5,148,127,0.377826855123675,"False",21
"1368","EPRS",11,10,112,133,0.393158240315167,"False",21
"1370","ERAL1",24,34,141.5,134,0.476398514851485,"False",7.5
"1373","ERCC1",22,43,86.5,95,0.468126660761736,"False",8.5
"1375","ERGIC2",18,29,90.5,70,0.353663366336634,"False",20.5
"1376","ERGIC3",59,62,120,125,0.479239475774424,"False",5
"1377","ERH",500,745,123,114,0.468126660761736,"False",9
"1378","ERI3",19,18,103,111.5,0.468126660761736,"False",8.5
"1379","ERLIN2",14,9,111.5,133,0.379463157894737,"False",21.5
"1381","ERP29",41,53,106,99,0.475476487723679,"False",7
"1382","ESD",11,17,116,117,0.493792184724689,"False",1
"1385","ETF1",18,25,82.5,106,0.333634881825591,"False",23.5
"1386","ETFA",63,41,90,97,0.475164835164835,"False",7
"1392","EWSR1",32,38,71,125,0.0290952380952381,"True",54
"1394","EXOC4",7,22,69,115,0.0889805825242719,"False",46
"1398","EXOSC1",18,13,43,103,0,"True",60
"1399","EXOSC2",13,8,85,69.5,0.393871073298429,"False",15.5
"1400","EXOSC4",11,12,106,117,0.45021052631579,"False",11
"1401","EXOSC5",21,14,87,133,0.115525210084034,"False",46
"1402","EXOSC8",183,201,105,89,0.418859393232205,"False",16
"1403","EXOSC9",29,28,93,109.5,0.412642180094787,"False",16.5
"1405","EXTL3",5,14,121,172.5,0.110972222222222,"False",51.5
